chapter,use,quote
2.1-1,general,"today I shall meet people who are meddling, ungrateful, aggressive, treacherous, malicious, unsocial. All this has afflicted them through their ignorance of true good and evil."
2.1-2,general,"the nature of the offender himself is akin to my own - not a kinship of blood or seed, but a sharing in the same mind, the same fragment of divinity."
2.2-1,general,"whatever it is, this being of mine is made up of flesh, breath, and directing mind."
2.2-2,general,"the flesh you should disdain - blood, bones, a mere fabric of nerves, veins, and arteries. Consider too what breath is - wind - and not even a constant"
2.2-3,general,"don't then let this directing mind of yours be enslaved any longer - no more jerking to the strings of selfish impulse, no more disquiet at your present or suspicion of your future fate."
2.4-1,general,"it is high time now for you to understand the universe of which you are a part, and the governor of that universe of whom you constitute an emanation"
2.4-2,general,"there is a limit circumscribed to your time - if you do not use it to clear away your clouds, it will be gone, and you will be gone, and the opportunity will not return."
2.5-1,general,"perform each action as if it were the last of your life: freed, that is, from all lack of aim, from all passion-led deviation from the ordinance of reason"
2.5-2,general,"see how few things a man needs to master for the settled flow of a god-fearing life."
2.6-1,general,"self-harm, my soul, you are doing self-harm: and you will have no more opportunity for self-respect."
2.6-2,core,"life for each of us is a mere moment, and this life of yours is nearly over, while you still show yourself no honour, but let your own welfare depend on other people's souls."
